engagementRate,uniqueActors,uniqueViewers,engagements,impressions,URL
0,0,0,30,0,https://insights.hightechcampus.com/whitepaper-high-tech-campus-eindhoven
0.166666667,60,360,130,440,https://investor.ajg.com/news-releases/news-release-details/gallaghers-ceo-j-patrick-gallagher-jr-named-2018-hall-fame
0,0,0,30,0,https://ivreeproductions.com/
0.214285714,30,140,150,160,https://jobs.bnymellon.com/jobs/1816858?lang=en-us
0,0,0,30,40,https://jobs.jobvite.com/careers/sofi/job/ooWD8fwP?__jvst=Career%20Site
0,0,40,30,60,https://joshbersin.com/2018/09/adp-unveils-one-of-the-most-exciting-hcm-systems-ive-seen-and-more/
0.119047619,50,420,140,400,https://joshbersin.com/2018/10/employee-engagement-3-0-humu-launches-nudge-engine/
0,0,0,60,0,https://kumu.io/aflazo/def-innovation-ecosystem-map
0,0,0,30,0,https://lexfridman.com/ai/
0.5,60,120,40,260,https://marketoonist.com/2018/10/transformation.html
0,0,0,40,0,https://markettechnicial.blogspot.com/2018/10/guess-what.html
0,0,180,50,200,https://medium.com/team8/a-vision-and-model-for-building-companies-1a3501ef8273
0,0,0,150,60,https://members.fintechconnector.com/user/sign_up
0,0,0,70,0,https://mjbizconference.com/vegas/
0,0,80,40,40,https://money2020us2018.sched.com/event/Fswo
0,0,0,30,0,https://myemail.constantcontact.com/Join-Us----December-1st--2018---For-CHANGE-MANAGEMENT---Three-Experts-Share-their-Secrets-.html?soid=1103105356326&aid=LPuJqaoTeyw
0.166666667,30,180,100,200,https://mygivingaccenture.yourcause.com/public#/fundraising/4314
0.078947368,30,380,110,640,https://news.efinancialcareers.com/us-en/327171/hedge-fund-poaches-facebooks-head-of-ai-research
0.064516129,120,1860,140,2200,https://news.microsoft.com/en-gb/2018/11/01/centrica-forms-strategic-partnership-with-microsoft-to-transform-field-operations-with-dynamics-365-and-ai/
0.3,30,100,50,200,https://newsroom.accenture.com/news/accenture-names-jeffrey-russell-president-of-accenture-in-canada.htm
0,0,0,40,0,https://rainbowtabl.es/2018/10/30/arik-air/
0,0,40,30,40,https://securitycurrent.com/the-costs-of-deferring-important-cyber-decisions/
0,0,0,50,0,https://strategy.data.gov/practices/?utm_medium=social&utm_source=linkedin.company&utm_campaign=postfity&utm_content=postfity33fbc
0.203703704,110,540,240,780,https://thesaasreport.com/the-saas-reports-top-women-leaders-in-saas-of-2018/
0,0,160,40,120,https://venturebeat.com/2018/10/12/google-ai-claims-99-accuracy-in-metastatic-breast-cancer-detection/
0.045,90,2000,140,2180,https://venturebeat.com/2018/10/15/mit-commits-1-billion-to-make-ai-part-of-every-graduates-education/
0.166666667,30,180,60,80,https://www.adweek.com/creativity/marketers-often-overlook-music-in-campaigns-but-heres-how-they-can-start-weaving-it-into-strategies/
0,0,100,50,80,https://www.aifrontiers.com
0,0,0,30,40,https://www.air.org/news/press-release/american-institutes-research-recognized-commitment-diversity
0.22,110,500,300,480,https://www.analyticsindiamag.com/top-10-data-scientists-in-india-2018/
0,0,80,70,60,https://www.bankinfosecurity.com/analysis-did-anthems-security-certification-have-value-a-11634
0.083333333,50,600,120,720,https://www.billboard.com/articles/news/magazine-feature/8480478/billboard-2018-top-music-lawyers-list
0.15,30,200,50,140,https://www.bizjournals.com/baltimore/news/2018/11/02/new-dreamport-center-bringing-small-business-cyber.html
0.018518519,40,2160,100,1940,https://www.bizjournals.com/seattle/news/2018/11/05/microsoft-walmart-open-cloud-factory-amazon.html
0.3,30,100,50,280,https://www.bizjournals.com/southflorida/news/2018/10/31/executive-profile-philip-golfarb.html
0.06097561,50,820,100,920,https://www.blackenterprise.com/maurice-stinnett-black-man-diversity-nba/
0,0,40,40,40,https://www.bloomberg.com/news/articles/2018-10-05/pwc-chairman-urges-500-ceos-to-talk-about-diversity-on-same-day
0.375,30,80,50,60,https://www.bryancave.com/en/news-events/zetoony-named-legal-influencer-of-european-telecommunications.html
0.138888889,50,360,40,340,https://www.businessinsider.com/javier-soltero-microsoft-cortana-leaving-2018-11
0.083333333,90,1080,130,1080,https://www.businessinsider.com/jpmorgan-announces-partnership-with-plaid-2018-10
0.072916667,70,960,100,860,https://www.businessinsider.com/why-my-company-switched-to-a-5-hour-workday-and-how-you-can-make-it-work-for-you-2016-9
0.138888889,100,720,110,880,https://www.businesswire.com/news/home/20181011005113/en/UBS-Private-Wealth-Advisors-Bellevue-WA-Named
