engagementRate,uniqueActors,uniqueViewers,engagements,impressions,URL
0,0,100,30,60,https://www.tonyrobbins.com/career-business/innovation-culture/
0,0,0,30,0,https://www.uktech.news/news/investment-news/hackajob-gets-5m-help-companies-hire-tech-talent-20181026
0.147058824,50,340,60,460,https://www.usatoday.com/story/money/cars/2018/11/07/gm-general-motors-job-cuts/1917501002/
0.039215686,40,1020,100,1160,https://www.usatoday.com/story/money/nation-now/2018/10/11/tesla-outsells-mercedes-benz-elon-musk/1598474002/
0.129032258,80,620,110,620,https://www.usbank.com/newsroom/news/dorothy-bridges-and-greg-cunningham-named-to-ebony-power-100.html
0,0,0,30,0,https://www.voiceamerica.com/show/2699/task-force-7-cyber-security-radio
0.060606061,40,660,60,600,https://www.wealthmanagement.com/industry/rias-could-go-way-small-ski-resort-heres-how
0,0,80,60,140,https://www.wired.com/story/ai-cold-war-china-could-doom-us-all/
0.3125,50,160,60,60,https://www.workingmother.com/ellen-durden-pnc-financial-services
0.107142857,30,280,40,180,https://www.wsj.com/articles/at-berkeley-its-big-data-on-campus-1541066401
0,0,100,50,60,https://www.wsj.com/articles/the-new-movie-soundtrack-a-spotify-playlist-1539691320
0.136363636,30,220,110,360,https://www.wsj.com/articles/women-managers-have-little-margin-for-error-1539966227
0.083333333,60,720,90,660,https://www.xconomy.com/boston/2018/10/24/machine-learning-firm-datarobot-gets-100m-to-automate-data-science/
0,0,60,30,80,https://www.zdnet.com/article/a-mysterious-grey-hat-is-patching-peoples-outdated-mikrotik-routers/
0,0,0,50,0,https://www.zdnet.com/article/google-ponders-the-shortcomings-of-machine-learning/
0.066666667,60,900,100,1160,https://www.zdnet.com/article/microsoft-to-tackle-ai-skills-shortage-with-two-new-training-programs/
0.080645161,100,1240,150,1220,https://www.zdnet.com/article/what-microsofts-executive-compensation-metrics-say-about-its-priorities/
0.09375,60,640,130,1120,https://www2.deloitte.com/global/en/pages/about-deloitte/press-releases/deloitte-ranked-one-gartner-security-consulting-services.html
